"Kod";"Nazwa";"Miejsca pracy";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1800000;"PODKARPACKIE";"zlikwidowane miejsca pracy";"2018";14,3;"tys. msc.";"";
1800000;"PODKARPACKIE";"zlikwidowane miejsca pracy";"2019";12,7;"tys. msc.";"";
1800000;"PODKARPACKIE";"zlikwidowane miejsca pracy";"2020";19,7;"tys. msc.";"";
1800000;"PODKARPACKIE";"zlikwidowane miejsca pracy";"2021";9,8;"tys. msc.";"";
1800000;"PODKARPACKIE";"zlikwidowane miejsca pracy";"2022";11,8;"tys. msc.";"";
1800000;"PODKARPACKIE";"zlikwidowane miejsca pracy";"2023";12,3;"tys. msc.";"";
1800000;"PODKARPACKIE";"zlikwidowane miejsca pracy";"2024";9,1;"tys. msc.";"";
2000000;"PODLASKIE";"nowo utworzone miejsca pracy";"2015";12,0;"tys. msc.";"";
2000000;"PODLASKIE";"nowo utworzone miejsca pracy";"2016";10,9;"tys. msc.";"";
2000000;"PODLASKIE";"nowo utworzone miejsca pracy";"2017";15,3;"tys. msc.";"";
2000000;"PODLASKIE";"nowo utworzone miejsca pracy";"2018";11,6;"tys. msc.";"";
2000000;"PODLASKIE";"nowo utworzone miejsca pracy";"2019";11,0;"tys. msc.";"";
2000000;"PODLASKIE";"nowo utworzone miejsca pracy";"2020";9,8;"tys. msc.";"";
2000000;"PODLASKIE";"nowo utworzone miejsca pracy";"2021";11,5;"tys. msc.";"";
2000000;"PODLASKIE";"nowo utworzone miejsca pracy";"2022";10,8;"tys. msc.";"";
2000000;"PODLASKIE";"nowo utworzone miejsca pracy";"2023";10,5;"tys. msc.";"";
2000000;"PODLASKIE";"nowo utworzone miejsca pracy";"2024";12,1;"tys. msc.";"";
2000000;"PODLASKIE";"zlikwidowane miejsca pracy";"2015";4,4;"tys. msc.";"";
2000000;"PODLASKIE";"zlikwidowane miejsca pracy";"2016";5,1;"tys. msc.";"";
2000000;"PODLASKIE";"zlikwidowane miejsca pracy";"2017";5,3;"tys. msc.";"";
2000000;"PODLASKIE";"zlikwidowane miejsca pracy";"2018";4,7;"tys. msc.";"";
2000000;"PODLASKIE";"zlikwidowane miejsca pracy";"2019";5,0;"tys. msc.";"";
2000000;"PODLASKIE";"zlikwidowane miejsca pracy";"2020";7,4;"tys. msc.";"";
2000000;"PODLASKIE";"zlikwidowane miejsca pracy";"2021";4,7;"tys. msc.";"";
2000000;"PODLASKIE";"zlikwidowane miejsca pracy";"2022";3,9;"tys. msc.";"";
2000000;"PODLASKIE";"zlikwidowane miejsca pracy";"2023";5,7;"tys. msc.";"";
2000000;"PODLASKIE";"zlikwidowane miejsca pracy";"2024";5,8;"tys. msc.";"";
2200000;"POMORSKIE";"nowo utworzone miejsca pracy";"2015";39,8;"tys. msc.";"";
2200000;"POMORSKIE";"nowo utworzone miejsca pracy";"2016";40,2;"tys. msc.";"";
2200000;"POMORSKIE";"nowo utworzone miejsca pracy";"2017";37,5;"tys. msc.";"";
2200000;"POMORSKIE";"nowo utworzone miejsca pracy";"2018";43,5;"tys. msc.";"";
2200000;"POMORSKIE";"nowo utworzone miejsca pracy";"2019";39,9;"tys. msc.";"";
2200000;"POMORSKIE";"nowo utworzone miejsca pracy";"2020";28,4;"tys. msc.";"";
2200000;"POMORSKIE";"nowo utworzone miejsca pracy";"2021";34,7;"tys. msc.";"";
2200000;"POMORSKIE";"nowo utworzone miejsca pracy";"2022";32,7;"tys. msc.";"";
2200000;"POMORSKIE";"nowo utworzone miejsca pracy";"2023";27,9;"tys. msc.";"";
2200000;"POMORSKIE";"nowo utworzone miejsca pracy";"2024";28,0;"tys. msc.";"";
2200000;"POMORSKIE";"zlikwidowane miejsca pracy";"2015";19,8;"tys. msc.";"";
